STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
365230,Data Science & Artificial Intelligence,Female,Jordan,100,GCE Sci
359972,Data Science & Artificial Intelligence,Male,U.A.E,95,Scientific
366737,Data Science & Artificial Intelligence,Male,Jordan,92,GCE Sci
376461,Data Science & Artificial Intelligence,Male,Jordan,93,SAT2 Sci.
380883,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
367595,Data Science & Artificial Intelligence,Male,Jordan,93,IB Scie
367760,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
367815,Data Science & Artificial Intelligence,Female,Jordan,93,SAT2 Sci.
368101,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific / Medical 
368376,Data Science & Artificial Intelligence,Male,Jordan,93,SAT2 Sci.
368750,Data Science & Artificial Intelligence,Female,K.S.A,93,GCE Sci
368772,Data Science & Artificial Intelligence,Female,Jordan,97,IB Scie
373194,Data Science & Artificial Intelligence,Female,K.S.A,91,Scientific
378749,Data Science & Artificial Intelligence,Male,Jordan,93,SAT2 Sci.
372160,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
373425,Data Science & Artificial Intelligence,Male,Jordan,92,SAT2 Sci.
373447,Data Science & Artificial Intelligence,Male,K.S.A,90,Scientific
373458,Data Science & Artificial Intelligence,Male,U.A.E,90,SAT2 Sci.
374195,Data Science & Artificial Intelligence,Male,Jordan,91,GCE Sci
374228,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
374250,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
374470,Data Science & Artificial Intelligence,Male,Jordan,91,IB Scie
380828,Data Science & Artificial Intelligence,Male,Jordan,99,IB Scie
381169,Data Science & Artificial Intelligence,Male,Jordan,84,Scientific /Eng.
372600,Data Science & Artificial Intelligence,Male,Jordan,95,GCE Sci
374426,Data Science & Artificial Intelligence,Female,Qatar,92,Scientific
374437,Data Science & Artificial Intelligence,Male,Jordan,91,GCE Sci
371302,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
374800,Data Science & Artificial Intelligence,Female,Jordan,90,GCE Sci
381290,Data Science & Artificial Intelligence,Male,Jordan,71,Scientific / Medical 
381312,Data Science & Artificial Intelligence,Male,Jordan,64,Scientific / Medical 
382049,Data Science & Artificial Intelligence,Male,Jordan,85,Scientific / Medical 
375372,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific / Medical 
371093,Data Science & Artificial Intelligence,Female,K.S.A,80,Scientific
372710,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
379354,Data Science & Artificial Intelligence,Male,Jordan,75,Scientific
380223,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific / Medical 
380509,Data Science & Artificial Intelligence,Male,Jordan,85,SAT2 Sci.
380531,Data Science & Artificial Intelligence,Female,Jordan,85,Scientific / Medical 
377132,Data Science & Artificial Intelligence,Male,Syria,95,Scientific
371577,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific
